,Learning Rate,Regularization Strength,Max Iterations,MSE
0,1e-06,0.001,100,0.7734692699933934
1,1e-06,0.001,500,0.7723645441452781
2,1e-06,0.001,1000,0.7709860891659962
3,1e-06,0.001,2000,0.7682373330956366
4,1e-06,0.001,5000,0.7600559085550337
5,1e-06,0.01,100,0.7734692700036555
6,1e-06,0.01,500,0.7723645444035626
7,1e-06,0.01,1000,0.7709860901984739
8,1e-06,0.01,2000,0.7682373372140701
9,1e-06,0.01,5000,0.7600559340506576
10,1e-06,0.1,100,0.7734692701062756
11,1e-06,0.1,500,0.772364546986406
12,1e-06,0.1,1000,0.7709861005232207
13,1e-06,0.1,2000,0.7682373783981783
14,1e-06,0.1,5000,0.7600561890034192
15,1e-06,1.0,100,0.7734692711324769
16,1e-06,1.0,500,0.7723645728144856
17,1e-06,1.0,1000,0.7709862037678613
18,1e-06,1.0,2000,0.7682377902167054
19,1e-06,1.0,5000,0.7600587381835139
20,1e-06,10.0,100,0.7734692813942101
21,1e-06,10.0,500,0.7723648310599412
22,1e-06,10.0,1000,0.7709872359314288
23,1e-06,10.0,2000,0.7682419061475185
24,1e-06,10.0,5000,0.760084195267816
25,1e-06,100.0,100,0.7734693839838966
26,1e-06,100.0,500,0.7723674099842239
27,1e-06,100.0,1000,0.7709975293418804
28,1e-06,100.0,2000,0.7682828409391179
29,1e-06,100.0,5000,0.7603353298086871
30,1e-05,0.001,100,0.7709860643769297
31,1e-05,0.001,500,0.76005578655256
32,1e-05,0.001,1000,0.7466335487276585
33,1e-05,0.001,2000,0.7205712075150997
34,1e-05,0.001,5000,0.6482820884934374
35,1e-05,0.01,100,0.77098606540013
36,1e-05,0.01,500,0.7600558120028896
37,1e-05,0.01,1000,0.7466336489727592
38,1e-05,0.01,2000,0.7205715957554008
39,1e-05,0.01,5000,0.6482842887673447
40,1e-05,0.1,100,0.7709860756321071
41,1e-05,0.1,500,0.7600560665027275
42,1e-05,0.1,1000,0.7466346513967047
43,1e-05,0.1,2000,0.7205754779521313
44,1e-05,0.1,5000,0.6483062887359544
45,1e-05,1.0,100,0.7709861779491244
46,1e-05,1.0,500,0.7600586111554503
47,1e-05,1.0,1000,0.7466446729305997
48,1e-05,1.0,2000,0.7206142792994261
49,1e-05,1.0,5000,0.648526011623267
50,1e-05,10.0,100,0.7709872008440536
51,1e-05,10.0,500,0.7600840231521935
52,1e-05,10.0,1000,0.7467446182597247
53,1e-05,10.0,2000,0.7210002388651859
54,1e-05,10.0,5000,0.6506958065231329
55,1e-05,100.0,100,0.770997402324439
56,1e-05,100.0,500,0.7603347250548101
57,1e-05,100.0,1000,0.7477176080272409
58,1e-05,100.0,2000,0.7246622986415269
59,1e-05,100.0,5000,0.669881767825117
60,0.0001,0.001,100,0.7466311560777937
61,0.0001,0.001,500,0.6482718725660339
62,0.0001,0.001,1000,0.5452618084453632
63,0.0001,0.001,2000,0.3911818299860886
64,0.0001,0.001,5000,0.16911009926493956
65,0.0001,0.01,100,0.7466312554433346
66,0.0001,0.01,500,0.64827406937259
67,0.0001,0.01,1000,0.5452692817783792
68,0.0001,0.01,2000,0.39120347674733824
69,0.0001,0.01,5000,0.16916265788123652
70,0.0001,0.1,100,0.7466322490724041
71,0.0001,0.1,500,0.64829603468199
72,0.0001,0.1,1000,0.5453439981393681
73,0.0001,0.1,2000,0.3914198689472936
74,0.0001,0.1,5000,0.1696883119929795
75,0.0001,1.0,100,0.7466421827295647
76,0.0001,1.0,500,0.648515412404674
77,0.0001,1.0,1000,0.5460894672330817
78,0.0001,1.0,2000,0.39357625432492244
79,0.0001,1.0,5000,0.17495048171149966
80,0.0001,10.0,100,0.7467412564645789
81,0.0001,10.0,500,0.6506818956815931
82,0.0001,10.0,1000,0.5533770983321767
83,0.0001,10.0,2000,0.414392287739876
84,0.0001,10.0,5000,0.22718068570402508
85,0.0001,100.0,100,0.7477062192416616
86,0.0001,100.0,500,0.6698463184791738
87,0.0001,100.0,1000,0.6118026190675009
88,0.0001,100.0,2000,0.5592650886741092
89,0.0001,100.0,5000,0.5326409001708231
90,0.001,0.001,100,0.5450938552735535
91,0.001,0.001,500,0.16893439532515805
92,0.001,0.001,1000,0.08216421895096453
93,0.001,0.001,2000,0.06605325062015069
94,0.001,0.001,5000,0.06519933381778478
95,0.001,0.01,100,0.54510127684666
96,0.001,0.01,500,0.1689869096731974
97,0.001,0.01,1000,0.08221252164785238
98,0.001,0.01,2000,0.0660734919540767
99,0.001,0.01,5000,0.065212418163603
100,0.001,0.1,100,0.5451754760341597
101,0.001,0.1,500,0.16951212301572027
102,0.001,0.1,1000,0.08269813083669171
103,0.001,0.1,2000,0.06628375176341689
104,0.001,0.1,5000,0.0653530500559839
105,0.001,1.0,100,0.5459158158067269
106,0.001,1.0,500,0.17477007577347162
107,0.001,1.0,1000,0.08779826269604861
108,0.001,1.0,2000,0.06911609102598114
109,0.001,1.0,5000,0.06765946624222889
110,0.001,10.0,100,0.5531562503100654
111,0.001,10.0,500,0.22697593125300683
112,0.001,10.0,1000,0.15263933311891012
113,0.001,10.0,2000,0.13471175494816376
114,0.001,10.0,5000,0.13366392170228003
115,0.001,100.0,100,0.6113989510414805
116,0.001,100.0,500,0.5326113256356871
117,0.001,100.0,1000,0.5314118836194038
118,0.001,100.0,2000,0.5314051913256024
119,0.001,100.0,5000,0.5314051911192893
120,0.01,0.001,100,0.08163855741171348
121,0.01,0.001,500,0.06519919783905566
122,0.01,0.001,1000,0.06519777751370956
123,0.01,0.001,2000,0.0651977774555111
124,0.01,0.001,5000,0.0651977774555111
125,0.01,0.01,100,0.08168632321637075
126,0.01,0.01,500,0.06521228067389155
127,0.01,0.01,1000,0.06521084567743002
128,0.01,0.01,2000,0.06521084561885411
129,0.01,0.01,5000,0.06521084561885411
130,0.01,0.1,100,0.08216661044702282
131,0.01,0.1,500,0.06535289817829322
132,0.01,0.1,1000,0.06535132525138417
133,0.01,0.1,2000,0.0653513251895809
134,0.01,0.1,5000,0.0653513251895809
135,0.01,1.0,100,0.08721809661745494
136,0.01,1.0,500,0.06765922873085542
137,0.01,1.0,1000,0.06765695113769167
138,0.01,1.0,2000,0.06765695107663805
139,0.01,1.0,5000,0.06765695107663805
140,0.01,10.0,100,0.15191180903743634
141,0.01,10.0,500,0.13366388634664214
142,0.01,10.0,1000,0.1336637118108428
143,0.01,10.0,2000,0.13366371181074346
144,0.01,10.0,5000,0.13366371181074346
145,0.01,100.0,100,0.5314091698762166
146,0.01,100.0,500,0.531405191119288
147,0.01,100.0,1000,0.531405191119288
148,0.01,100.0,2000,0.531405191119288
149,0.01,100.0,5000,0.531405191119288
150,0.1,0.001,100,0.06519777746255392
151,0.1,0.001,500,0.06519777745551102
152,0.1,0.001,1000,0.06519777745551102
153,0.1,0.001,2000,0.06519777745551102
154,0.1,0.001,5000,0.06519777745551102
155,0.1,0.01,100,0.0652108456259304
156,0.1,0.01,500,0.06521084561885403
157,0.1,0.01,1000,0.06521084561885403
158,0.1,0.01,2000,0.06521084561885403
159,0.1,0.01,5000,0.06521084561885403
160,0.1,0.1,100,0.06535132519691923
161,0.1,0.1,500,0.0653513251895808
162,0.1,0.1,1000,0.0653513251895808
163,0.1,0.1,2000,0.0653513251895808
164,0.1,0.1,5000,0.0653513251895808
165,0.1,1.0,100,0.06765695108270979
166,0.1,1.0,500,0.06765695107663783
167,0.1,1.0,1000,0.06765695107663783
168,0.1,1.0,2000,0.06765695107663783
169,0.1,1.0,5000,0.06765695107663783
170,0.1,10.0,100,0.13366371181074366
171,0.1,10.0,500,0.13366371181074269
172,0.1,10.0,1000,0.13366371181074269
173,0.1,10.0,2000,0.13366371181074269
174,0.1,10.0,5000,0.13366371181074269
175,0.1,100.0,100,0.5314051911192877
176,0.1,100.0,500,0.5314051911192877
177,0.1,100.0,1000,0.5314051911192877
178,0.1,100.0,2000,0.5314051911192877
179,0.1,100.0,5000,0.5314051911192877
